tahun,jenis_ternak,jumlah_peternak,satuan_peternak
2019,Sapi perah,87,orang
2019,Sapi potong,156,orang
2019,Kerbau,13,orang
2019,Kambing,263,orang
2019,Domba,89,orang
2019,Itik,46,orang
2019,Kelinci,4,orang
